,instance,nlat mean,nlat stdDev,fair mean,fair stdDev
0,"[False, True, False, False, True, nan, nan, True]",0.9477370363824508,0.05970923536370189,0.9764715345466838,0.02906070756077326
1,"[True, nan, nan, False, True, False, False, True]",0.9540047277422512,0.05262083421005039,0.9780469904927647,0.0295715450170662
2,"[True, True, nan, False, True, nan, True, True]",0.9457370200577904,0.06841484872752494,0.9858292989871081,0.018131777345701993
3,"[True, True, False, True, True, nan, nan, True]",0.8227677520583657,0.19976974893553465,0.9597646050593432,0.059902289275175956
4,"[False, nan, nan, True, True, False, False, True]",0.6164504184442408,0.2647563639364458,0.6659012063789893,0.38033236899598505
5,"[False, True, nan, True, True, nan, False, True]",0.9413485018646016,0.07139697592178565,0.980042461086722,0.0329349386434287
6,"[True, False, True, True, False, nan, nan, False]",0.611277146374478,0.19996107416640824,0.347469804887249,0.4443386750857726
7,"[False, nan, nan, True, True, True, False, True]",0.9029248944100212,0.17529180611049766,0.974440220524283,0.048633552577013246
8,"[False, True, nan, False, False, nan, False, True]",0.9662864839329439,0.03326040583519166,0.9918656717328465,0.010224285403254528
9,"[True, True, False, True, False, nan, nan, True]",0.9664010317886577,0.04316630641051832,0.9954771802705877,0.006421156782846868
10,"[False, nan, nan, True, True, True, False, True]",0.9622838164077085,0.053514391145720396,0.9946248145664439,0.007012619972813799
11,"[False, True, nan, False, True, nan, False, True]",0.9465607632608974,0.04767234808913709,0.9756158011801103,0.024706603098443962
12,"[True, True, False, True, True, nan, nan, True]",0.9467629632529091,0.07354706641019673,0.9925318535636453,0.011217138013285246
13,"[False, nan, nan, True, True, True, False, True]",0.8680734213660745,0.18438278558411872,0.8177848359816434,0.3840138687105686
14,"[False, True, nan, True, True, nan, False, False]",0.8206568290205563,0.19787297728105024,0.5855505487878176,0.4956576972662326
15,"[False, True, False, True, True, nan, nan, True]",0.95910063736579,0.05139460051345899,0.9880362363422618,0.019278286646726366
16,"[True, nan, nan, False, True, True, False, True]",0.9582518759895774,0.05220134728485475,0.9904009401798248,0.015273131418524136
17,"[False, True, nan, True, True, nan, False, True]",0.7140831693130381,0.24705005290990673,0.7532468574012027,0.3166032137290248
18,"[False, True, False, False, False, nan, nan, True]",0.9656605773112353,0.03853059565461369,0.9850826473797069,0.019108518029484257
19,"[True, nan, nan, False, True, True, False, True]",0.75311559000436,0.2184465519642591,0.9387527073130888,0.06057923321039651
20,"[False, True, nan, False, True, nan, False, True]",0.9480227179387036,0.0548166210510107,0.9855317613657784,0.019049332895915507
